score,source,target
52.85,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
52.85,/workshop-files//NZ Music Month quiz answers 2006.doc,/workshop-files//dhb changes.doc
53.08,/workshop-files//taiwan national day.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
53.53,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//Sargent gallery.doc
53.76,/workshop-files//zero tertiary fees.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
53.99,/workshop-files//mccarthyism.doc,/workshop-files//dhb changes.doc
55.81,/workshop-files//air nz future.doc,/workshop-files//New NZSO CEO 8May02.doc
55.81,/workshop-files//New NZSO CEO 8May02.doc,/workshop-files//supreme court.doc
56.04,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//air nz future.doc
56.04,/workshop-files//key reaction.doc,/workshop-files//dhb changes.doc
56.95,/workshop-files//te papa 05.doc,/workshop-files//air nz future.doc
57.40,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//supreme court.doc
58.09,/workshop-files//Bike regs.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
58.09,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//New NZSO CEO 8May02.doc
59.23,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//aircare 24nov2005.doc
59.68,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//Sarjeant gallery.doc
59.91,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
60.14,/workshop-files//aircare 23nov2005.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
60.14,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
60.36,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
60.59,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//NZSafetyAwards15Aug.doc
60.59,/workshop-files//te papa 05.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
61.05,/workshop-files//te papa 05.doc,/workshop-files//supreme court.doc
61.50,/workshop-files//te papa 05.doc,/workshop-files//Sargent gallery.doc
62.87,/workshop-files//ACCSafetyAwards15Aug.doc,/workshop-files//te papa 05.doc
64.01,/workshop-files//te papa 05.doc,/workshop-files//Geographical Indications 04.DOC
65.38,/workshop-files//te papa 05.doc,/workshop-files//Sarjeant gallery.doc
66.29,/workshop-files//te papa 05.doc,/workshop-files//NZSafetyAwards15Aug.doc
67.20,/workshop-files//aircare 24nov2005.doc,/workshop-files//te papa 05.doc
